model,male_word,female_word,representation_space,male_career_score,female_career_score,male_cf_career_score,female_cf_career_score,male_ite,female_ite
google/gemma-3-1b-pt,brother,sister,hidden_state,-0.0259,-0.043,-0.0268,-0.0432,0.001,0.0002
google/gemma-3-1b-pt,father,mother,hidden_state,-0.0496,-0.0627,-0.05,-0.0627,0.0003,0.0
google/gemma-3-1b-pt,uncle,aunt,hidden_state,-0.0275,-0.0421,-0.0276,-0.0421,0.0002,-0.0
google/gemma-3-1b-pt,grandfather,grandmother,hidden_state,-0.0471,-0.0686,-0.0474,-0.0683,0.0003,-0.0003
google/gemma-3-1b-pt,son,daughter,hidden_state,-0.0341,-0.0592,-0.0347,-0.059,0.0005,-0.0003
google/gemma-3-1b-pt,boy,girl,hidden_state,-0.0414,-0.0528,-0.0417,-0.0527,0.0003,-0.0001
google/gemma-3-1b-pt,male,female,hidden_state,-0.0244,-0.0143,-0.0248,-0.0143,0.0003,0.0001
google/gemma-3-1b-pt,man,woman,hidden_state,-0.0472,-0.0555,-0.0475,-0.0552,0.0003,-0.0002
google/gemma-3-1b-pt,grandfather,grandmother,hidden_state,-0.0471,-0.0686,-0.0474,-0.0683,0.0003,-0.0003
google/gemma-3-1b-pt,nephew,niece,hidden_state,-0.0364,-0.0579,-0.0368,-0.058,0.0004,0.0
google/gemma-3-1b-pt,husband,wife,hidden_state,-0.0589,-0.0668,-0.0593,-0.0668,0.0004,-0.0001
google/gemma-3-1b-pt,king,queen,hidden_state,-0.0217,-0.0327,-0.0218,-0.0326,0.0001,-0.0002
google/gemma-3-1b-pt,prince,princess,hidden_state,-0.0241,-0.0298,-0.0242,-0.0298,0.0001,0.0
google/gemma-3-1b-pt,gentleman,lady,hidden_state,-0.0188,-0.0315,-0.019,-0.0313,0.0002,-0.0002
google/gemma-3-1b-pt,lad,lass,hidden_state,-0.0323,-0.0297,-0.0324,-0.0297,0.0001,-0.0
google/gemma-3-1b-pt,groom,bride,hidden_state,-0.0362,-0.0614,-0.0366,-0.0615,0.0005,0.0001
